adp_code,adp_name,financial_year,cidp_code,sector_name,programme_name,subprogramme_name,project_name,location_text,subcounty,ward,sublocation,village,activity_description,estimated_cost,funding_source,timeframe,performance_indicator,target,plan_status,implementing_agency,cross_cutting_issues,source_pdf_page,raw_text
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs","Commercial, Tourism and Labour Affairs ADP Projects",Mach akos Cultu ral Festiv al,Machak os Cultural festival,Central/ Mjini and all Wards,,,,,Organ izing of the event with all Wards,10000000.0,CGM,Q4,One cultural event organize d,1,Ongoing,Depar tment of Cultur e and Touris m,Disabi lity friendl y,220,Mach Machak Central/ Organ 10 CG Q4 One 1 Ongoi Depar Disabi | akos os Mjini izing M cultural ng tment lity | Cultu Cultural and all of the event of friendl | ral festival Wards event organize Cultur y | Festiv with d e and | al all Touris | Wards m
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs","Commercial, Tourism and Labour Affairs ADP Projects",Const ructio n of a Reha bilitat ion Cente r,Rehabil itation Center,Central/ Mjini,,,,,Construction of a Rehab ilitatio n CEnte r,25000000.0,CGM,Q3,One Rehab Build,1,New,Depar tment of Cultur e and Touris m,Disabi lity friendl y,220,Const Rehabil Central/ Constr 25 CG Q3 One 1 New Depar Disabi | ructio itation Mjini uction M Rehab tment lity | n of a Center of a Build of friendl | Reha Rehab Cultur y | bilitat ilitatio e and | ion n Touris | Cente CEnte m | r r
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs","Commercial, Tourism and Labour Affairs ADP Projects",Const ructio n of curio shops,Constru ction curio shops Mulu Mutisya Garden,Central/ of Mjini at,,,,,Construction of curio shops at Mulu Mutis ya Garde n,20000000.0,CGM,Q2,Curio Shops Construc ted,50,New,Depar tment of Cultur e and Touris m,Disabi lity friendl y,220,Const Constru Central/ Constr 20 CG Q2 Curio 50 New Depar Disabi | ructio ction of Mjini uction M Shops tment lity | n of curio of Construc of friendl | curio shops at curio ted Cultur y | shops Mulu shops e and | Mutisya at Touris | Garden Mulu m | Mutis | ya | ions | ) | Garde | n
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs",Industrial Development,CAIP,Operati onalizat ion of the CAIP,Mua/Mik uyu,,,,,"Mana gemen t of the CAIP, aggre gation , value additi on progra mmes, marke ting",100000000.0,CGM/ gra nts,QI/Q 2/Q3/ Q4,"No. of fully functioni ng CAIP, tonnage on aggregati on, value- added finished product lines, export sales","1/24,0 00/3,",Ongoing,Depar tment of Indust ry and Innov ation,"Aggre gation , Coope rative develo pment , out emplo yment , climat e chang e adapta tion",221,"CAIP Operati Mua/Mik Mana 100 CG QI/Q No. of 1/24,0 Ongoi Depar Aggre | onalizat uyu gemen M/ 2/Q3/ fully 00/3, ng tment gation | ion of t of gra Q4 functioni of , | the the nts ng CAIP, Indust Coope | CAIP CAIP, tonnage ry and rative | aggre on Innov develo | gation aggregati ation pment | , value on, , out | additi value- emplo | on added yment | progra finished , | mmes, product climat | marke lines, e | ting export chang | sales e | adapta | tion"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs",Industrial Development,Wood tech Com mon- User Facilit y,Operati onalizat ion of the Woodte ch Commo n User Facility,Kathalan i- Kathiani,,,,,"Equip ping of the facilit y, mobili zation of the wood sector stakeh olders , trainin g of the artisan s",25000000.0,CGM,QI/Q 2,"No. of operation al facilities, Number of artisans trainer, number of public forum engagem ents/train ing sessions",1/ 200/ 5,New,Depar tment of Indust ry and Innov ation,"Aggre gation , Coope rative develo pment , youth emplo yment , enviro nment al sustai nabilit y",221,"Wood Operati Kathalan Equip 25 CG QI/Q No. of 1/ New Depar Aggre | tech onalizat i- ping M 2 operation 200/ tment gation | Com ion of Kathiani of the al 5 of , | mon- the facilit facilities, Indust Coope | User Woodte y, Number ry and rative | Facilit ch mobili of Innov develo | y Commo zation artisans ation pment | n User of the trainer, , | Facility wood number youth | sector of public emplo | stakeh forum yment | olders engagem , | , ents/train enviro | trainin ing nment | g of sessions al | the sustai | artisan nabilit | s y"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs",Innovation Development,Innov ation Hub,Operati onalizat ion of the Innovati on Hub,Machako s/Macha kos Town,,,,,"Devel opme nt of the trainin g modul es, staffin g of the hub, selecti on of cohort s, incuba tion of ideas, mento rship, resear ch, marke ting",50000000.0,CGM,"Q1,Q 2,Q3, Q4","No. of hubs running, no. of staff employe d, cohorts admitted, no. of research studies carried out, no. of incubates graduatin g, no. market program mes carried out, number of deals signed with external partners",1/200/ 2/200/ 2/5 of,New,Depar tment of Indust ry and Innov ation,"youth emplo yment , enviro nment al sustai nabilit y, wome n empo werm ent",221,"Innov Operati Machako Devel 50 CG Q1,Q No. of 1/200/ New Depar youth | ation onalizat s/Macha opme M 2,Q3, hubs 2/200/ tment emplo | Hub ion of kos nt of Q4 running, 2/5 of yment | the Town the no. of Indust , | Innovati trainin staff ry and enviro | on Hub g employe Innov nment | modul d, ation al | es, cohorts sustai | ions | ) | staffin admitted, nabilit | g of no. of y, | the research wome | hub, studies n | selecti carried empo | on of out, no. werm | cohort of ent | s, incubates | incuba graduatin | tion of g, no. of | ideas, market | mento program | rship, mes | resear carried | ch, out, | marke number | ting of deals | signed | with | external | partners"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs",Investment Promotion,One- Stop One- Go Shop,Operati onalizat ion of the Hub,Mavoko,,,,,"Interio r design ing of one- stop- shop, invest ment promo tion, afterc are servic es",25000000.0,CGM,"Q1,Q 2,Q3, Q4","Operatio nal hub, investme nt certificat es issued, exhibitio ns carried out, deals signed with external partners, services provided in the hub",1/10/2/ 10/20,Ongoing,Mach akos Invest ment Autho rity,"youth emplo yment , enviro nment al sustai nabilit y, ESG consid eratio ns.",222,"One- Operati Mavoko Interio 25 CG Q1,Q Operatio 1/10/2/ Ongoi Mach youth | Stop onalizat r M 2,Q3, nal hub, 10/20 ng akos emplo | One- ion of design Q4 investme Invest yment | Go the Hub ing of nt ment , | Shop one- certificat Autho enviro | stop- es issued, rity nment | shop, exhibitio al | invest ns sustai | ment carried nabilit | promo out, deals y, | tion, signed ESG | afterc with consid | are external eratio | servic partners, ns. | es services | provided | in the | hub"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,Perimet er Wall,,,,,,Perimeter Wall- Education offices,,,M,,,ment,of Educa tion,friend ly,232,"Perimet Perimeter 15,00 M ment of friend | er Wall Wall- 0,000 Educa ly | Education tion | offices"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,Staffin,-,,,,,Recruitme,50000000.0,,C Q1 -,,EC,Needs,Depar,Consi,232,"Staffin - Recruitme 50,00 C Q1 - EC Needs Depar Consi"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,g Feedin,-,,,,,nt of ECDE Teachers Procure and,0.0,,G Q4 M C Q1 - G Q4,,"DE cent res 42,0 00",Assess ment Needs Assess,tment of Educa tion Depar tment,dering PWD s Consi dering,232,"g nt of 0,000 G Q4 DE Assess tment dering | ECDE M cent ment of PWD | Teachers res Educa s | tion | - Procure C Q1 - 42,0 Needs Depar Consi | Feedin and G Q4 00 Assess tment dering"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,Progra m,-,,,,,n of milk to ECDE Centers Procure and,0.0,,C Q1 - G Q4,,"ners 42,0 00",Needs Assess,Educa tion Depar tment,s Consi dering,232,"Progra n of milk 0,000 ners Educa s | m to ECDE tion | Centers | ons) | - Procure C Q1 - 42,0 Needs Depar Consi | and G Q4 00 Assess tment dering"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,Disburs ement of Bursary Funds Teachi ng and,- -,,,,,n of food to ECDE centers Allocatio n and Disburse ment of Bursary Funds Procure and distributio,,,C Q1 - G Q4 M C Q1 - G Q4 M,,"ners 28,5 00 lear ners 1,18 1 Cen",Needs Assess ment Needs Assess ment,Educa tion Depar tment of Educa tion Depar tment of,s Consi dering PWD s Consi dering PWD,233,"n of food 0,000 ners Educa s | to ECDE tion | centers | - Allocatio C Q1 - 28,5 Needs Depar Consi | Disburs | n and G Q4 00 Assess tment dering | ement 240,0 | Disburse M lear ment of PWD | of 00,00 | ment of ners Educa s | Bursary 0 | Bursary tion | Funds | Funds | - Procure C Q1 - 1,18 Needs Depar Consi | Teachi and G Q4 1 Assess tment dering | ng and distributio M Cen ment of PWD"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",Vocational Technical,Learnin g Materia ls Training,Unit -,,,,,n of Teaching and Learning Materials Constructi,,,C Q1 -,,ters 3,Needs,Educa tion Depar,s Disab,233,"Learnin n of 20,00 ters Educa s | g Teaching 0,000 tion | Materia and , | ls Learning | Materials | Vocational Training Unit | Technical - Constructi C Q1 - 3 Needs Depar Disab"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",Vocational Training,Kitchen,,,,,,Kitchen,,,M,,,ment,of Educa tion,friend ly,233,"Vocational Kitchen Kitchen ,000. M ment of friend | Training 00 Educa ly | tion"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,Ablutio,-,,,,,Constructi,19000000.0,,C Q1 -,,10,Needs,Depar,Disab,233,"Ablutio - Constructi 19,00 C Q1 - 10 Needs Depar Disab"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,n Block,,,,,,on of 1-4 door Ablution block,0.0,,G Q4 M,,Abl utio n Blo cks,Assess ment,tment of Educa tion,ility friend ly,233,n Block on of 1-4 0.00 G Q4 Abl Assess tment ility | door M utio ment of friend | Ablution n Educa ly | block Blo tion | cks
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,Worksh,-,,,,,Constructi,19000000.0,,C Q1 -,,5,Needs,Depar,Disab,233,"Worksh - Constructi 19,00 C Q1 - 5 Needs Depar Disab"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,op shop,,,,,,on of Workshop shop,0.0,,G Q4 M,,wor ksh ops,Assess ment,tment of Educa tion,ility friend ly,233,"op shop on of 0,000 G Q4 wor Assess tment ility | Workshop M ksh ment of friend | shop ops Educa ly | tion"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,Dormit,-,,,,,Constructi,14000000.0,,C Q1 -,,5,Needs,Depar,Disab,233,"Dormit - Constructi 14,00 C Q1 - 5 Needs Depar Disab"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,ory,,,,,,on of dormitory,0.0,,G Q4 M,,,Assess ment,tment of Educa tion,ility friend ly,233,"ory on of 0,000 G Q4 Assess tment ility | dormitory M ment of friend | Educa ly | tion"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,Capitati,-,,,,,Disburse,62000000.0,,C Q1 -,,"4,50",Needs,Depar,Consi,233,"Capitati - Disburse 62,00 C Q1 - 4,50 Needs Depar Consi"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,Teachi,-,,,,,Procure,70000000.0,,C Q1 -,,42,Needs,Depar,Consi,234,"Teachi - Procure 70,00 C Q1 - 42 Needs Depar Consi"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,ng and learnin g Equipm ents,,,,,,and Supply Teaching,0.0,,G Q4 M,,VT C Cen ters,Assess ment,tment of Educa tion,dering PWD s,234,"ng and and 0,000 G Q4 VT Assess tment dering | learnin Supply of M C ment of PWD | g Teaching Cen Educa s | Equipm ters tion | ents"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",Youth,g Empowerment,,,,,,nt of Instructor s Youth,0.0,,G Q4 M Sub sector,,VT C Cen ters,Assess ment,tment of Educa tion,dering PWD s,234,"g nt of 0,000 G Q4 VT Assess tment dering | Instructor M C ment of PWD | s Cen Educa s | ters tion | Youth and Sports Sub sector | Youth Empowerment"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",Machakos youth service Sports,Establis hment of a youth service for skills training and life skills develop ment. Infrastructure,All wards,,,,,Equipping of the centres. Staffing the trainners.,100000000.0,,C Q2 G M,No of youths enrolle d in the service,100 0,Ongoing,Depar tment of Youth and Sports,Drugs and substa nce abuse,234,Machakos Establis All Equipping 100 C Q2 No of 100 Ongoi Depar Drugs | youth hment wards of the m G youths 0 ng tment and | service of a centres. M enrolle of substa | youth Staffing d in Youth nce | service the the and abuse | for trainners. service Sports | skills | training | and life | skills | develop | ment. | Sports Infrastructure
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",Sports complex,Establis hment of a sports comple x of internat ional standar ds,Machak os central,,,,,Constructi on and equipping of an internatio nal standard sports complex Gender,500000000.0,,C Q3 G M Welfare Sub,Well- constr ucted sports compl ex sector,1,Ongoing,Depar tment of youth and sports,Talent devel opme nt and Nurtu ring,234,Sports Establis Machak Constructi 500 C Q3 Well- 1 Ongoi Depar Talent | complex hment os on and m G constr ng tment devel | of a central equipping M ucted of opme | sports of an sports youth nt and | comple internatio compl and Nurtu | x of nal ex sports ring | internat standard | ional sports | standar complex | ds | Gender and Social Welfare Sub sector
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",Capacity,Table,County wide,,,,,Empower,30000000.0,,"C Q1,",No. of,900,New,Depar,Impro,234,"Capacity Table All Empower 30,00 C Q1, No. of 900 New Depar Impro"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",building/ Empower ment,bankin g Revolvi ng Fund,Wards,,,,,"ment of women, youth, and self- help groups",0.0,,"G Q2,Q M 3,Q4",groups benefit ing,,,tment of Gend er and Social Welfa re,ved livelih ood,234,"building/ bankin Wards ment of 0,000 G Q2,Q groups tment ved | Empower g women, M 3,Q4 benefit of livelih | ment Revolvi youth, ing Gend ood | ng and self- er and | Fund help Social | groups Welfa | re"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,Internat,Matuu,,,,,Mark the,2000000.0,,C Q3,No. of,"1,00",Ongoi,Depar,Enlig,234,"Internat Matuu Mark the 2,000 C Q3 No. of 1,00 Ongoi Depar Enlig"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,ional Day for Women,,,,,,Internatio nal Day for Women,0.0,,G M,partici pants invited,0,ng,tment of Gend er and Social Welfa re,htene d comm unity,234,"ional Internatio ,000 G partici 0 ng tment htene | nal Day M of d | ons) | Day for for pants Gend comm | Women Women invited er and unity | Social | Welfa | re"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,Wikwat,County wide,,,,,Disburse,45000000.0,,"C QI,",No. of,810,New,Depar,Impro,235,"Wikwat All Disburse 45,00 C QI, No. of 810 New Depar Impro"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",,yo Funds for groups,Wards,,,,,ment of Wikwatyo Funds/To ols/Equip ment,0.0,,"G Q2,Q M 3,Q4",groups benefit ing,,,tment of Gend er and Social Welfa re,ved livelih ood,235,"yo Wards ment of 0,000 G Q2,Q groups tment ved | Funds Wikwatyo M 3,Q4 benefit of livelih | for Funds/To ing Gend ood | groups ols/Equip er and | ment Social | Welfa | re"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Education, Youth and Social Welfare","Education, Youth and Social Welfare ADP Projects",Care and,Operati,Machak,,,,,Functioni,2000000.0,,"C Q1,",No. of,4,New,Depar,Disab,235,"Care and Operati Machak Functioni 2,000 C Q1, No. of 4 New Depar Disab"
